,mistake,correct_answer,context,question
30,['Martin Breitner'],Freya Roth,"In 1933, Freya Roth is a young German girl engaged to a Nazi party member. When she realizes the true nature of his political views she breaks the engagement and turns her attention to anti-Nazi Martin Breitner. Her father, Professor Roth, does not abide by the attitude of the new order towards scientific fact.
Though his stepsons Erich and Otto eagerly embrace the regime, Professor Roth's reluctance to conform leads at first to a boycott of his classes and eventually to his arrest and a sentence of forced physical labor. His wife is permitted a five-minute visit in which the professor urges her to take Freya and her younger brother and leave the country. He dies soon after.
Freya is kept from leaving by Nazi officials suspicious of her father's work. She reunites with Martin and together they attempt to escape through a mountain pass. A squad reluctantly led by her former fiancee gives chase and Freya is fatally wounded, dying in Martin's arms just after they cross the border. Later, Erich and Otto are informed of their sister's death. Erich responds with anger towards Martin.  Otto, however, experiences an epiphany, and flees their once-happy home, rejecting the Nazis and their cruel doctrine.",What is the full name of the person that the leader of the squad that pursues the fleeing woman engaged to?
31,['Soundtrack to the Apocalypse'],Slayer,"God Hates Us All was originally intended to be named Soundtrack to the Apocalypse. However, Araya suggested that the title would be better used for a box set, which the band released in 2003. The phrase God Hates Us All originates from the song ""Disciple"", during which the line is repeated over the chorus. The lyrics are in reference to God's allowance of acts such as suicide and terrorism, while seemingly doing nothing to prevent them (see problem of evil). A member of the heavy metal band Pantera suggested using ""God Hates Us All"" for a shirt design after King played the song to the band. King agreed, although he thought the phrase would have more impact as the album title.
The original album cover depicts a Bible spiked with nails placed in a pentagram star shape, covered in blood with the word ""Slayer"" burnt across it. The liner notes intersperse the lyrics between passages from the biblical Book of Job, partly crossed out with a black marker. The idea was suggested by the band's record company, although King wanted  more time to develop a better cover. King's concept for the cover was to show nails in the shape of a pentagram, and have them miss keywords in Bible verses so it appeared as if it had been created by a sociopath who knew where every word appears. He later complained that the outcome was typical of ""a record company with absolutely no idea what the fuck they were going to do"", and said that the cover ""looked like a seventh grader defaced the Bible."" A slip insert was placed in front of the covers in major retail outlets.",What is the name of the band that released God Hates Us All?
32,['Purple Rain'],Lay Up Under Me,"The tracks ""Countdown"" and ""End of Time"" were distinguished by their musical and lyrical experimentalism. ""Countdown"" was described as ""everywhere on the genre map"", although predominantly dancehall-led with a ""bristling brass arrangement"". Its chorus describes a relationship by counting backwards from ten, using a sample from Boyz II Men's ""Uhh Ahh"". ""End of Time""'s pulsating, brass sound—reminiscent of a marching-band—was heavily influenced by Afrobeat musician Fela Kuti. Kuti's use of horns and percussion instruments was recreated and combined with elements of electronic music and synthesizers. ""Lay Up Under Me"" is also built on retro horns, featuring upbeat vocals, a sound Ryan Dombal of Pitchfork associated with Michael Jackson's 1979 album Off the Wall.Other tracks were noted for their retro stylization. ""Rather Die Young"" is a throwback to 1960s doo-wop and Philadelphia soul, with a slow tempo and modern drums. ""Party"" achieves a vintage aesthetic through minimalistic production, replete with heavy synthesizers and a 1980s smooth-funk groove. The song is unique for its conversation-like structure, in which Beyoncé and guest-vocalist André 3000 sing verses that allude to socialization at parties. Elements of Prince's style was found on ""Schoolin' Life"" and ""I Care"". ""Schoolin' Life"" is an uptempo funk song, with lyrics that advise the listener to live life to the fullest while cautioning them about the consequences of excess. The chorus of ""I Care"" was compared to ""Purple Rain"", with themes of sadness and resentment, the song uses soft background vocals and dense percussion. ""Love on Top"" was noted for its energetic key changes with a joyful tone, evoking the work of Michael and Janet Jackson. Its retro sound is marked by a melding of horns as well as sweet backing harmonies that are most prominent on its bridge and chorus.",What was the name of the song that was compared to Michael Jackson's 1979 album?
33,['Kathleen Hanna'],Love,"On September 8, 1993, Love and Cobain made their only public performance together at the Rock Against Rape benefit in Hollywood, performing two acoustic duets of ""Pennyroyal Tea"" and ""Where Did You Sleep Last Night."" Love also performed electric versions of two new Hole songs, ""Doll Parts"" and ""Miss World,"" both written for the band's upcoming second album. In October 1993, Hole recorded their second album, Live Through This, in Atlanta. The album featured a new lineup with bassist Kristen Pfaff and drummer Patty Schemel. Live Through This was released on Geffen's subsidiary label DGC in April 1994, four days after Cobain died of a self-inflicted gunshot wound in their Seattle home while Love was in rehab in Los Angeles. In the following months, Love was rarely seen in public, holing up in her Seattle home with friends and family members. After the cremation of Cobain's remains, Love divided portions of his ashes, keeping some in a teddy bear and some in an urn. In June 1994, she traveled to the Namgyal Buddhist Monastery in Ithaca, New York, where she had his ashes ceremonially blessed by Buddhist monks, and a portion were mixed into clay which was made into memorial sculptures. On June 16, 1994, Hole's bassist Kristen Pfaff died of a heroin overdose in Seattle. For the band's impending tour, Love recruited Canadian bassist Melissa Auf der Maur.Live Through This was a commercial and critical success, hitting platinum RIAA certification in April 1995 and receiving numerous critical accolades. The success of the record combined with Cobain's suicide resulted in a high level of publicity for Love, and she was featured on Barbara Walters' 10 Most Fascinating People in 1995. Simultaneously, her erratic onstage behavior and various legal troubles during Hole's 1994–1995 world tour compounded the media coverage of her.Hole's performance on August 26, 1994 at the Reading Festival— Love's first public performance following Cobain's death—was described by MTV as ""by turns macabre, frightening and inspirational."" John Peel wrote in The Guardian that Love's disheveled appearance ""would have drawn whistles of astonishment in Bedlam"", and that her performance ""verged on the heroic ... Love steered her band through a set which dared you to pity either her recent history or that of the band ... the band teetered on the edge of chaos, generating a tension which I cannot remember having felt before from any stage."" The band performed a series of riotous concerts over the following year, with Love frequently appearing hysterical onstage, flashing crowds, stage diving, and getting into fights with audience members. One journalist reported that at the band's show in Boston in December 1994, ""Love interrupted the music and talked about her deceased husband Kurt Cobain, and also broke out into Tourette syndrome-like rants. The music was great, but the raving was vulgar and offensive, and prompted some of the audience to shout back at her.""The tour was also marked by a series of legal troubles for Love: In January 1995, she was arrested in Melbourne for disrupting a Qantas Airways flight after getting into an argument with a stewardess. On July 4, 1995, at the Lollapalooza Festival in George, Washington, Love threw a lit cigarette at musician Kathleen Hanna before punching her in the face, alleging that Hanna had made a joke about her daughter. She pleaded guilty to an assault charge and was sentenced to anger management classes. In November 1995, two male teenagers attempted to sue Love for allegedly punching them during a Hole concert they attended in Orlando, Florida in March 1995. The judge ultimately dismissed the case on grounds that the teens ""weren't exposed to any greater amount of violence than could reasonably be expected at an alternative rock concert."" Love would later say that she retained little memory of 1994–1995, blaming the fact that she had been using large quantities of heroin and Rohypnol at the time.",What is the name of the person who pleaded guilty to an assault charge and was sentenced to anger management classes?
34,['Xu Beihong'],Dong,"When the painting was unveiled in 1953, most Chinese critics were enthusiastic.  Xu Beihong, the president of CAFA and a pioneer in using realism in oil painting, admired the manner in which the work fulfilled its political mission, but complained that because of the colors, it barely resembled an oil painting.  He and others, though, saw that the painting opened a new chapter in Chinese art development.  Zhu Dan, head of the People's Fine Arts Publishing House, which would reproduce the painting for the masses, argued that it was more a poster than an oil painting.  Other artists stated that Dong's earlier works, such as Kazakh Shepherdess (1947) and Liberation (1949), were better examples of the new national style of art.  Senior Party leaders, though, approved of the painting, as art historian Chang-Tai Hung put it, ""seeing it as a testament to the young nation's evolving identity and growing confidence"".Soon after the unveiling, Jiang wanted to arrange an exhibition at which government officials, including Mao, could view and publicly endorse the new Chinese art.  He had connections in Mao's inner circle, and Dong and others organized it to be in conjunction with meetings at Zhongnanhai that Mao led. This was, most likely, the only time Mao attended an art exhibition after 1949.  Mao visited the exhibition three times in between meetings and especially liked The Founding of the Nation—the official photograph of the event shows Mao and Zhou Enlai viewing the canvas with Dong.  The chairman stared at the painting for a long time and finally said, ""It is a great nation.  It really is a great nation.""  Mao also stated that the portrayal of Dong Biwu was particularly well rendered.  As Dong Biwu was in the second row, mostly hidden by the large Zhu De, Mao was most likely joking, but the favorable reaction by the country's leader assured the success of the painting.The Founding of the Nation was hailed as one of the greatest oil paintings ever by a Chinese artist by reviewers in that country, and more than 500,000 reproductions were sold in three months.  Mao's praise helped boost the painting and its painter.  Dong's techniques were seen as bridging the gap between the elitist medium of oil painting and popular art, and as a boost to Jiang's position that realistic art could be politically desirable.  It was reproduced in primary and secondary school textbooks.  The painting appeared on the front page of People's Daily in September 1953, and became an officially approved interior decoration.  One English-language magazine published by the Chinese government for distribution abroad showed a model family in a modern apartment, with a large poster of The Founding of the Nation on the wall.  According to Chang-Tai Hung, the painting ""became a celebrated propaganda piece"".",What is the name of the person who created one of the greatest oil paintings ever by a Chinese artist?
35,['Goodhead'],Bond,"A Drax Industries Moonraker space shuttle on loan to the United Kingdom is hijacked in midair. M, head of MI6, assigns James Bond, Agent 007, to investigate. En route to England, Bond is attacked by the Apollo jet crew and pushed out of the plane by the mercenary assassin Jaws. He survives by stealing a parachute from the pilot, whilst Jaws lands on a trapeze net within a circus tent.
At the Drax Industries shuttle-manufacturing complex in California, Bond meets the owner of the company, Hugo Drax, and his henchman Chang. Bond also meets Dr. Holly Goodhead, an astronaut, and he then survives an assassination attempt while inside a centrifuge chamber. Drax's personal pilot, Corinne Dufour, helps Bond find blueprints for a glass vial made in Venice; Drax discovers her involvement and has her killed by his pet dogs. 
Bond again encounters Goodhead in Venice and observes her snooping around a door near the glass factory. Then he is chased through the canals by Drax's henchmen. He returns to the factory at night to check the door out, and discovers a secret biological laboratory, and learns that the glass vials are to hold a nerve gas deadly to humans, but harmless to animals. Chang attacks Bond, but Bond hurls him through the stained glass clockface of the Saint Mark's clocktower, killing him; during the fight, Bond finds evidence that Drax is moving his operation to Rio de Janeiro. Rejoining Goodhead, he deduces that she is a CIA agent spying on Drax. Bond has saved one of the vials he found earlier, as the only evidence of the now-empty laboratory; he gives it to M for analysis, who permits him to go to Rio de Janeiro under the pretence of being on leave.",What is the last name of the person who survives by stealing a parachute from the pilot?
36,['Pink Floyd'],Waters,"George Roger Waters (born 6 September 1943) is an English songwriter, singer, bassist, and composer. In 1965, he co-founded the progressive rock band Pink Floyd. Waters initially served solely as the bassist, but following the departure of songwriter Syd Barrett in 1968, he also became their lyricist, co-lead vocalist, and conceptual leader.
Pink Floyd achieved international success with the concept albums The Dark Side of the Moon (1973), Wish You Were Here (1975), Animals (1977), and The Wall (1979). By the early 1980s, they had become one of the most critically acclaimed and commercially successful groups in popular music; by 2013, they had sold more than 250 million albums worldwide. Amid creative differences, Waters left in 1985 and began a legal dispute with the remaining members over the use of the band's name and material. They settled out of court in 1987.
Waters' solo work includes the studio albums The Pros and Cons of Hitch Hiking (1984), Radio K.A.O.S. (1987), Amused to Death (1992), and Is This the Life We Really Want? (2017). In 2005, he released Ça Ira, an opera translated from Étienne and Nadine Roda-Gils' libretto about the French Revolution.
In 1990, Waters staged one of the largest rock concerts in history, The Wall – Live in Berlin, with an attendance of 450,000. As a member of Pink Floyd, he was inducted into the U.S. Rock and Roll Hall of Fame in 1996 and the UK Music Hall of Fame in 2005. Later that year, he reunited with Pink Floyd bandmates Mason, Wright and David Gilmour for the Live 8 global awareness event, the group's first appearance with Waters since 1981. He has toured extensively as a solo act since 1999; he performed The Dark Side of the Moon in its entirety for his world tour of 2006–2008, and in 2010 began the Wall Live tour, the highest-grossing of all time by a solo artist.",What is the last name of the person who was inducted into the U.S. Rock and Roll Hall of Fame in 1996? 
37,['Frank Bridge'],Robert,"Audrey Alston encouraged Britten to go to symphony concerts in Norwich. At one of these, during the triennial Norfolk and Norwich Festival in October 1924,  he heard Frank Bridge's orchestral poem The Sea, conducted by the composer. It was the first substantial piece of modern music he had ever encountered, and he was, in his own phrase, ""knocked sideways"" by it. Audrey Alston was a friend of Bridge; when he returned to Norwich for the next festival in 1927 she brought her not quite 14-year-old pupil to meet him. Bridge was impressed with the boy, and after they had gone through some of Britten's compositions together he invited him to come to London to take lessons from him. Robert Britten, supported by Thomas Sewell, doubted the wisdom of pursuing a composing career; a compromise was agreed by which Britten would, as planned, go on to his public school the following year but would make regular day-trips to London to study composition with Bridge and piano with his colleague Harold Samuel.Bridge impressed on Britten the importance of scrupulous attention to the technical craft of composing and the maxim that ""you should find yourself and be true to what you found."" The earliest substantial works Britten composed while studying with Bridge are the String Quartet in F, completed in April 1928, and the Quatre Chansons Françaises, a song-cycle for high voice and orchestra. Authorities differ on the extent of Bridge's influence on his pupil's technique. Humphrey Carpenter and Michael Oliver judge that Britten's abilities as an orchestrator were essentially self-taught; Donald Mitchell considers that Bridge had an important influence on the cycle.",What is the first name of the person Alston encouraged to go to symphony concerts?
38,['Sepulcros de Miel'],Red Hot Chili Peppers,"Frusciante continued to collaborate with his friend Omar Rodríguez-López. Along with providing guitar work to The Mars Volta's studio albums, The Bedlam In Goliath and Octahedron, and Rodríguez-López's solo albums Se Dice Bisonte, No Búfalo and Calibration (Is Pushing Luck and Key Too Far), he functioned as executive producer for Rodríguez-López's directorial film debut, The Sentimental Engine Slayer. The film debuted at the Rotterdam Film Festival in February 2010. Along with work on the film, Frusciante and Rodríguez-López have released two collaborative records in May 2010. The first is the album Omar Rodriguez-Lopez & John Frusciante, an album with just the two of them, the other a quartet record, Sepulcros de Miel, consisting of Rodríguez-López, Frusciante, Juan Alderete and Marcel Rodríguez-López.
Frusciante also contributed music to the documentary film, Little Joe, based upon Joe Dallesandro. In 2009, Frusciante appeared in the documentary, ""The Heart is a Drum Machine."" His full-length, forty-five-minute interview is available in the special features of the DVD release.On December 7, 2011, the Red Hot Chili Peppers were named 2012 inductees for the Rock And Roll Hall Of Fame. In an interview that same day, Anthony Kiedis talked about Frusciante and if he would attend the ceremony. Kiedis stated, ""It would be a guess on my behalf on whether or not he'll come. I can't imagine that he would, but it's a 'you never know' kind of thing. I haven't talked to him in quite a while. I don't know where he's at these days. He'll obviously be more than welcome, and embraced if he does. If he doesn't, that's cool too."" Flea also spoke about Frusciante by saying ""He left us so many great gifts. He's a phenomenal musician and songwriter who gave so much to our band. All the feelings I have for him not being in the band any more ... He really took us to a higher level."" Frusciante eventually declined to be present for the Red Hot Chili Peppers' induction into the Rock and Roll Hall of Fame in April.",What was the name of the band that John Frusciante used to be a member of?
39,['Lou Reed'],Love,"Love has been candid about her diverse musical influences, the earliest being Patti Smith, The Runaways, and The Pretenders, artists she discovered while in juvenile hall at age fifteen. As a child, her first exposure to music was records that her parents retrieved each month through Columbia Record Club. The first record Love owned was Leonard Cohen's Songs of Leonard Cohen (1967), which she obtained from her mother: ""He was so lyric-conscious and morbid, and I was a pretty morbid kid,"" she recalled. As a teenager, she named Flipper, Kate Bush, Soft Cell, Joni Mitchell, Laura Nyro, Lou Reed, and Dead Kennedys among her favorite artists. She has also spoken of her appreciation for new wave and post-punk bands she became acquainted with while living as a teenager in the United Kingdom, such as Echo and the Bunnymen, The Smiths, Siouxsie and the Banshees, Television, Bauhaus, and Joy Division.While in Dublin at age fifteen, Love attended a Virgin Prunes concert, an event she credited as being a pivotal influence: ""I had never seen so much sex, snarl, poetry, evil, restraint, grace, filth, raw power and the very essence of rock and roll,"" she recalled. ""[I had seen] U2 [who] gave me lashes of love and inspiration, and a few nights later the Virgin Prunes fucked–me–up."" Decades later, in 2009, Love introduced the band's frontman Gavin Friday at a Carnegie Hall event, and performed a song with him.Love's diverse genre interests were illustrated in a 1991 interview with Flipside, in which she stated: ""There's a part of me that wants to have a grindcore band and another that wants to have a Raspberries-type pop band."" Discussing the abrasive sound of Hole's debut album, she said she felt she had to ""catch up with all my hip peers who'd gone all indie on me, and who made fun of me for liking R.E.M. and The Smiths."" She has also embraced the influence of experimental artists and punk rock groups, including Sonic Youth, Swans, Big Black, Diamanda Galás, the Germs, and The Stooges. While writing Celebrity Skin, she drew influence from Neil Young and My Bloody Valentine. She has also cited her contemporary PJ Harvey as an influence, saying: ""The one rock star that makes me know I'm shit is Polly Harvey. I'm nothing next to the purity that she experiences."" In 2014, she named ""Bitter Sweet Symphony"" by The Verve as one of her favorite songs.Literature and poetry have often been a major influence on her songwriting; Love said she had ""always wanted to be a poet, but there was no money in it."" She has named the works of T.S. Eliot and Charles Baudelaire as influential, and referenced works by Dante Rossetti, William Shakespeare, Rudyard Kipling, and Anne Sexton in her lyrics.","What is the name of the person who named Dead Kennedys, alongside side others, as being among her favorite artists?"
40,['David Martin'],Nick,"Trudie is an aspiring painter working as a restaurant waitress. With the pressure to please her parents (Timothy Bottoms and Markie Post) building, she misses a job interview and gets dumped by her boyfriend just before Christmas, and she has a nervous breakdown. Stressed about going home for the holidays without a boyfriend, she kidnaps David Martin, a random customer at the restaurant in which she works and introduces him to her parents as her boyfriend, Nick.  Trudie's family is vacationing at a very isolated log cabin miles away from anyone else, so David is unable to escape, although he makes several attempts. He finally decides to play along until the police come, but he ultimately falls in love with Trudie and understands the family pressure that made her feel forced to kidnap him in the first place.
During Christmas dinner, the holiday comes to an abrupt end when Trudie's parents begin to fight, her brother Jake announces that he is gay, and her sister Katie says that she has quit law school and bought a pilates studio with her parents' tuition money. The police then arrive and arrest the family during Christmas dinner, revealing that David Martin is not actually Trudie's boyfriend. 
Before he was kidnapped, David had a successful job and a beautiful, rich girlfriend; however, during his time with Trudie and her family, he realizes his life has developed into something he did not intend. After the family is released, except Grandma Dolores because she tired resist arrest, when David decides not to press charges, Trudie does not see or hear from David for a few months, but sees his engagement announcement in the newspaper.",Who does the waitress pretend the customer is?
41,['three'],2nd,"The British Army conducted only relatively infrequent patrols along its sector of the inner German border, principally for training purposes and symbolic value. By the 1970s, it was carrying out only one patrol a month, only rarely using helicopters or ground surveillance radar and erecting no permanent observation posts. The British border zone was divided into two sectors covering a total distance of about 650 kilometres (400 mi) along the border. Unlike the Americans, the British did not assign specific units to border duty, but rotated the task between the divisions of the British Army of the Rhine.The border was also patrolled in the British sector by the British Frontier Service, the smallest of the Western border surveillance organisations. Its personnel served as a liaison between British military and political interests and the German agencies on the border. The BFS was disbanded in 1991 following Germany's reunification.The United States Army maintained a substantial and continuous military presence at the inner German border throughout the entire period from 1945 to after the end of the Cold War. Regular American soldiers manned the border from the end of the war until they were replaced in 1946 by the United States Constabulary, which was disbanded in 1952 after policing duties were transferred to the German authorities. It was replaced by three dedicated armoured cavalry regiments assigned to provide a permanent defence. The 3rd Armored Cavalry Regiment based at Bamberg, 2nd Armored Cavalry Regiment based at Nuremberg and the 14th Armored Cavalry Regiment based at Fulda – later replaced by the 11th Armored Cavalry Regiment – monitored the border using observation posts, ground and air patrols, countering intrusions and gathering intelligence on Warsaw Pact activities.",What numbers were the armoured cavalry units that replaced the policing duties of the German authorities?
42,['Arkady Shapira'],Joshua,"The film follows the personal relationship between a father, Arkady Shapira, his terminally ill wife Irina, and his two sons, Joshua and Reuben (Roth and Furlong). Joshua, the elder, is a hit-man for the Jewish-Russian mafia in Brooklyn and estranged from his family. After finishing a contract killing, Joshua is ordered to kill an Iranian jeweler in Brighton Beach, which Joshua reluctantly accepts. Joshua stands outside his family's apartment, where he is spotted by one of his old friends Sasha, who tells Joshua's brother Reuben the next day. Reuben goes to the hotel where Joshua is staying to see him. Joshua asks Reuben how he knew he was in Brighton, and they make plans to meet again the next day.
Joshua waits near the boardwalk where Sasha is and intimidates him to tell who else knows about Joshua being in Brighton. Sasha brings Joshua to the car repair
stand where Viktor and Yuri are. Joshua says they will help him find the Iranian jeweler and when they refuse, Joshua threatens them.
After things go sour, Joshua executes a man at a phone booth to prevent being found out in Brighton, which angers the neighborhood boss Boris Volkoff. Joshua starts dating his ex-girlfriend Alla. Alla asks Reuben if he has seen Joshua anywhere and the three go together to see a movie. Eventually Reuben takes Joshua home to see his parents again, but Arkady denounces him as a murderer and kicks him out.
Joshua uses information about his father's affair to see his dying mother. After reminiscing about the past, Joshua's mother asks him to go to his grandmother's birthday party, which Joshua agrees to.",What is the first name of the person that Arkady kicks out?
43,['Peter Pears'],Britten,"In September 1970 Britten asked Myfanwy Piper, who had adapted the two Henry James stories for him, to turn another prose story into a libretto. This was Thomas Mann's novella Death in Venice, a subject he had been considering for some time. At an early stage in composition Britten was told by his doctors that a heart operation was essential if he was to live for more than two years. He was determined to finish the opera and worked urgently to complete it before going into hospital for surgery. His long-term colleague Colin Graham wrote:
Perhaps of all his works, this one went deepest into Britten's own soul: there are extraordinary cross-currents of affinity between himself, his own state of health and mind, Thomas Mann, Aschenbach (Mann's dying protagonist), and Peter Pears, who must have had to tear himself in three in order to reconstitute himself as the principal character.
After the completion of the opera Britten went into the National Heart Hospital and was operated on in May 1973 to replace a failing heart valve. The replacement was successful, but he suffered a slight stroke, affecting his right hand. This brought his career as a performer to an end. While in hospital Britten became friendly with a senior nursing sister, Rita Thomson; she moved to Aldeburgh in 1974 and looked after him until his death.Britten's last works include the Suite on English Folk Tunes ""A Time There Was"" (1974); the Third String Quartet (1975), which drew on material from Death in Venice; and the dramatic cantata Phaedra (1975), written for Janet Baker.In June 1976, the last year of his life, Britten accepted a life peerage – the first composer so honoured – becoming Baron Britten, of Aldeburgh in the County of Suffolk. After the 1976 Aldeburgh Festival, Britten and Pears travelled to Norway, where Britten began writing Praise We Great Men, for voices and orchestra based on a poem by Edith Sitwell. He returned to Aldeburgh in August, and wrote Welcome Ode for children's choir and orchestra. In November, Britten realised that he could no longer compose. On his 63rd birthday, 22 November, at his request Rita Thomson organised a champagne party and invited his friends and his sisters Barbara and Beth, to say their goodbyes to the dying composer. When Rostropovich made his farewell visit a few days later, Britten gave him what he had written of Praise We Great Men.
Britten died of congestive heart failure on 4 December 1976. His funeral service was held at Aldeburgh Parish Church three days later, and he was buried in its churchyard, with a gravestone carved by Reynolds Stone. The authorities at Westminster Abbey had offered burial there, but Britten had made it clear that he wished his grave to be side by side with that, in due course, of Pears. A memorial service was held at the Abbey on 10 March 1977, at which the congregation was headed by Queen Elizabeth The Queen Mother.",Who suffered a slight stroke?
44,['Burnett James'],Ravel,"In 1897 Ravel was readmitted to the Conservatoire, studying composition with Fauré, and taking private lessons in counterpoint with André Gedalge. Both these teachers, particularly Fauré, regarded him highly and were key influences on his development as a composer. As Ravel's course progressed, Fauré reported ""a distinct gain in maturity ... engaging wealth of imagination"". Ravel's standing at the Conservatoire was nevertheless undermined by the hostility of the Director, Théodore Dubois, who deplored the young man's musically and politically progressive outlook. Consequently, according to a fellow-student, Michel-Dimitri Calvocoressi, he was ""a marked man, against whom all weapons were good"". He wrote some substantial works while studying with Fauré, including the overture Shéhérazade and a violin sonata, but he won no prizes, and therefore was expelled again in 1900. As a former student he was allowed to attend Fauré's classes as a non-participating ""auditeur"" until finally abandoning the Conservatoire in 1903.In 1899 Ravel composed his first piece to become widely known, though it made little impact initially: Pavane pour une infante défunte (""Pavane for a dead princess""). It was originally a solo piano work, commissioned by the Princesse de Polignac. In 1897 he conducted the first performance of the Shéhérazade overture, which had a mixed reception, with boos mingling with applause from the audience, and unflattering reviews from the critics. One described the piece as ""a jolting debut: a clumsy plagiarism of the Russian School"" and called Ravel a ""mediocrely gifted debutant ... who will perhaps become something if not someone in about ten years, if he works hard."" Another critic, Pierre Lalo, thought that Ravel showed talent, but was too indebted to Debussy and should instead emulate Beethoven. Over the succeeding decades Lalo became Ravel's most implacable critic.From the start of his career, Ravel appeared calmly indifferent to blame or praise. Those who knew him well believed that this was no pose but wholly genuine. The only opinion of his music that he truly valued was his own, perfectionist and severely self-critical. At twenty years of age he was, in the words of the biographer Burnett James, ""self-possessed, a little aloof, intellectually biased, given to mild banter."" He dressed like a dandy and was meticulous about his appearance and demeanour. Orenstein comments that, short in stature, light in frame, and bony in features, Ravel had the ""appearance of a well-dressed jockey"", whose large head seemed suitably matched to his formidable intellect. During the late 1890s and into the early years of the next century, Ravel was bearded in the fashion of the day; from his mid-thirties he was clean-shaven.",Who wrote some substantial works while studying with Fauré?
45,['Melanie Daniels'],Mitch,"Melanie Daniels, a young socialite, meets criminal defense attorney Mitch Brenner in a San Francisco pet shop. Mitch wants to purchase a pair of lovebirds for his sister's eleventh birthday, but the shop has none. He recognizes Melanie from a court appearance, but she does not know him; he plays a prank by pretending to mistake her for a saleswoman. Melanie is infuriated by the prank—but finds herself romantically intrigued by Mitch.
Melanie purchases a pair of lovebirds and drives to Mitch's weekend address in Bodega Bay to deliver them. Wanting to surprise him, she rents a motorboat so she can approach the Brenner house from the bay instead of the road. She sneaks the birds inside the house and heads back across the bay. Mitch discovers the birds, spots Melanie's boat during her retreat, and drives around the bay to meet her. Melanie is attacked and injured by a seagull near shore on the town side. Mitch treats her abrasion and invites her to dinner; she hesitantly agrees.
Melanie gets to know Mitch, his domineering mother Lydia, and his younger sister Cathy. She also befriends local school teacher Annie Hayworth, Mitch's ex-lover. While spending the night at Annie's house, she and Annie are startled by a loud thud: a gull kills itself by flying into the front door. At Cathy's birthday party the next day, the guests are attacked by seagulls. The following evening, sparrows invade the Brenner home through the chimney.",What is the first name of the person who plays a prank?
46,['John XXIII'],Baldassare Cossa,"Antipope John XXIII had a complicated life, legacy, and relationship with the city of Florence. Baldassare Cossa was a Neapolitan nobleman who grew up in Bologna. Pope Boniface IX elevated Cossa to the Archdiocese of Bologna in 1396 and made him a cardinal in 1402. After the Council of Pisa in 1409, Cossa encouraged rebellion against Pope Gregory XII, who refused to resign. Cossa was deprived of his cardinalate, but it was restored by Antipope Alexander V, who had been elected by the council.Cossa succeeded Alexander V as John XXIII in 1410. John XXIII was acknowledged as pope by France, England, Bohemia, Prussia, Portugal, parts of the Holy Roman Empire, and numerous Northern Italian city states, including Florence and Venice; however, the Avignon Pope Benedict XIII was regarded as pope by the Kingdoms of Aragon, Castile, and Scotland and Gregory XII was still favored by Ladislaus of Naples, Carlo I Malatesta, the princes of Bavaria, Louis III, Elector of the Palatinate, and parts of Germany and Poland.When Ladislaus of Naples conquered Rome in 1413, John XXIII was forced to flee to Florence. He was compelled by Sigismund, Holy Roman Emperor, to convoke the Council of Constance in 1414, although when the threat to his pontificate and possibly his person became apparent, he fled in 1415. Although he expected his departure would disperse the council, the members of which he called to join him under the protection of Frederick IV, Duke of Austria, it continued to operate where they were. As John XXIII tried to make his way towards the territory of John II, Duke of Burgundy, Frederick IV surrendered him to the custody of Sigismund and the Council, and he was imprisoned by Louis III.In the meantime, the Council deposed John XXIII on May 29, 1415 and elected Pope Martin V on November 11, 1417; Martin V proceeded to Florence in February 1419. Cossa was ransomed by the Republic of Florence in 1419 (Louis III had abandoned the allegiance of Sigismund in 1417), as orchestrated by Giovanni di Bicci de' Medici. His ransom may have been a reward for past assistance to Florence, or a manoeuvre to put pressure on Martin V (still in Florence; he would arrive in Rome in September 1420), or both. Cossa had helped Florence conquer Pisa in 1405 in his capacity as Papal legate to Bologna and, as pope, had designated the Medici bank as the depository-general for the papal finances.In Florence, Cossa submitted to Martin V on June 14, 1419 and was rewarded with a cardinal's hat on June 26, only to die on December 22. Although given the title of Cardinal Bishop of Tusculum, Cossa called himself ""Cardinal of Florence"".","What is the full birth name of the person that was acknowledged as pope by France, England, Bohemia, Prussia, and Portugal?"
47,['Scott'],Polonius,"At last, the newly crowned King of Denmark, Edvard, and his wife and Queen, Dr. Paige Morgan, find time to fly to Belavia for their secret honeymoon. They spend their Christmas holidays at a ski resort, but as they take a tour of Belavia's natural beauty, Eddie and Paige discover that the evil Prime Minister Polonius  has given orders to bulldoze the precious forests to drill for oil. Paige and Eddie decide they must do everything they can to save the forest, even if it means putting aside their honeymoon. Then, the couple bump into Paige's ex-boyfriend, Scott, a journalist. Eddie immediately becomes jealous. Even though Edvard suspects Scott cannot be trusted, Eddie and Paige ask him for help with the media to try and stop the minister's evil plans. Scott, however, is being controlled by the evil minister, who tells him to spy on the couple. Scott tries to back out, but fails. Eddie tries to get an audience with the prince of Belavia, but fails, so he and Paige go to the Holiday Ball. Meanwhile, Scott tries to kiss Paige and says he is sorry he let her go. Disgusted, Paige walks away and goes to find Eddie, only to find him drunk.",What's the name of the person controller the journalist?
